Date,Disease,Frequency,Average Age,StdDev Age,Subdistrict
2017-08-14,J18.0,2,22.5,21.5,4
2017-08-15,J18.0,2,14.5,13.5,4
2017-08-16,J18.0,1,4.0,0.0,4
2017-08-18,J18.0,2,18.5,17.5,2
2017-08-19,J18.0,1,36.0,0.0,7
2017-08-20,J18.0,1,2.0,0.0,4
2017-08-22,J18.0,2,25.0,16.0,4
2017-08-25,J18.0,1,39.0,0.0,7
2017-08-27,J18.0,2,3.0,3.0,4
2017-08-29,J18.0,1,15.0,0.0,2
2017-09-05,J18.0,1,56.0,0.0,5
2017-09-06,J18.0,1,2.0,0.0,6
2017-09-07,J18.0,2,34.0,33.0,2
2017-09-08,J18.0,1,0.0,0.0,7
2017-09-12,J18.0,2,30.0,23.0,7
2017-09-13,J18.0,1,4.0,0.0,3
2017-09-14,J18.0,2,1.5,0.5,6
2017-09-15,J18.0,1,49.0,0.0,2
2017-09-16,J18.0,2,4.5,0.5,6
2017-09-17,J18.0,1,0.0,0.0,5
2017-09-19,J18.0,1,1.0,0.0,2
2017-09-23,J18.0,1,2.0,0.0,5
2017-09-25,J18.0,4,16.25,22.398381637966615,4
2017-09-26,J18.0,1,58.0,0.0,4
2017-09-30,J18.0,2,26.5,22.5,3
2017-10-01,J18.0,2,63.0,9.0,5
2017-10-02,J18.0,4,4.25,1.920286436967152,6
2017-10-04,J18.0,1,9.0,0.0,2
2017-10-06,J18.0,3,22.333333333333332,23.01207412545761,6
2017-10-07,J18.0,2,11.5,10.5,4
2017-10-09,J18.0,6,5.5,10.547511554864494,6
2017-10-10,J18.0,3,3.3333333333333335,3.39934634239519,6
2017-10-11,J18.0,2,61.0,2.0,2
2017-10-12,J18.0,1,0.0,0.0,5
2017-10-13,J18.0,2,0.0,0.0,6
2017-10-15,J18.0,1,24.0,0.0,5
2017-10-17,J18.0,1,37.0,0.0,7
2017-10-18,J18.0,1,36.0,0.0,5
2017-10-20,J18.0,1,71.0,0.0,4
2017-10-22,J18.0,1,7.0,0.0,7
2017-10-23,J18.0,2,2.0,2.0,6
2017-10-24,J18.0,1,2.0,0.0,3
2017-10-25,J18.0,3,21.0,18.49324200890693,2
2017-10-26,J18.0,2,1.5,0.5,5
2017-10-27,J18.0,3,20.333333333333332,22.395436042987765,4
2017-10-30,J18.0,2,4.0,3.0,2
2017-10-31,J18.0,2,30.0,30.0,4
2017-11-03,J18.0,2,3.5,1.5,3
2017-11-05,J18.0,1,1.0,0.0,4
2017-11-06,J18.0,2,1.5,0.5,2
2017-11-07,J18.0,2,28.5,24.5,4
2017-11-08,J18.0,2,51.5,9.5,5
2017-11-10,J18.0,1,3.0,0.0,2
2017-11-12,J18.0,1,5.0,0.0,2
2017-11-14,J18.0,3,4.333333333333333,2.6246692913372702,4
2017-11-15,J18.0,2,57.5,0.5,4
2017-11-16,J18.0,3,32.333333333333336,42.92888175679503,4
2017-11-17,J18.0,2,13.5,7.5,3
2017-11-18,J18.0,1,1.0,0.0,6
2017-11-19,J18.0,2,1.0,0.0,2
